,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label,index
16,7,boostcamp-sts-v1-dev-007,slack-sampled,건강하게 자라기를!!,얼른 건강 회복하기를요!!!,1.2,0.0,7
17,8,,,고수님들의 더 많은 가르침 부탁드립니다 < PERSON >,고수님들의 많은 지도 부탁드립니다 <PERSON>,4.6,1.0,8
18,8,,,고수님들의 더 많은 가르침 부탁드립니다 < PERSON >,고수님들의 더 많은 지도 부탁드립니다 < PERSON >,,,8
19,8,boostcamp-sts-v1-dev-008,slack-rtt,고수님들의 많은 가르침 부탁드립니다 <PERSON>,고수님들의 많은 지도 부탁드립니다 <PERSON>,4.6,1.0,8
20,8,,,고수님들의 많은 가르침 부탁드립니다 <PERSON>,고수님들의 더 많은 지도 부탁드립니다 < PERSON >,4.6,1.0,8
24,9,boostcamp-sts-v1-dev-009,slack-rtt,러닝화 신었더니 뒤꿈치가 푹신해서 자꾸 앞으로 힘이 쏠리고 뒤꿈치 들리네요,런닝화를 신고 발 뒤꿈치가 부드러워서 계속 힘을 빼고 발뒤꿈치를 들어 올렸다.,3.0,1.0,9
23,9,,,러닝화 신었더니 뒤꿈치가 푹신해서 자꾸 앞으로 힘이 쏠리고 뒤꿈치 들리네요,런닝화를 신고 발 뒤꿈치가 부드러워서 그런지 계속해서 힘을 빼고 발뒤꿈치를 들어 올렸다.,3.0,1.0,9
22,9,,,러닝화를 신었더니 자꾸 뒤꿈치가 푹신해서 자꾸 앞으로 힘이 쏠리고 뒤꿈치 들리네요,런닝화를 신고 발 뒤꿈치가 부드러워서 그런지 계속해서 힘을 빼고 발뒤꿈치를 들어 올렸다.,,,9
21,9,,,러닝화를 신었더니 자꾸 뒤꿈치가 푹신해서 자꾸 앞으로 힘이 쏠리고 뒤꿈치 들리네요,런닝화를 신고 발 뒤꿈치가 부드러워서 계속 힘을 빼고 발뒤꿈치를 들어 올렸다.,3.0,1.0,9
25,10,,,우리 회사 대박을 향해 ㄱ. ㄱ,우리 회사의 성공을 향해 a,3.4,1.0,10
26,10,,,우리 회사 대박을 향해 ㄱ ㄱ,우리 회사의 모든 성공을 향해 a,3.4,1.0,10
27,10,boostcamp-sts-v1-dev-010,slack-rtt,우리 회사 대박을 향해 ㄱ ㄱ,우리 회사의 성공을 향해 a,3.4,1.0,10
28,10,,,우리 회사 대박을 향해 ㄱ. ㄱ,우리 회사의 모든 성공을 향해 a,,,10
29,11,boostcamp-sts-v1-dev-011,slack-rtt,영양분 편차가 균등해짐.,영양소 변화가 균일해집니다.,2.8,1.0,11
30,12,,,"한,미 미래연합사령부 논의 불가^^",- 한미 미래연합사령부 논의 불가 청원 ^ ^,3.2,1.0,12
31,12,boostcamp-sts-v1-dev-012,petition-sampled,"한,미 미래연합사령부 논의 불가^^",한미 미래연합사령부 논의 불가 청원^^,3.2,1.0,12
32,12,,,"- 한, 미 미래연합사령부 논의 불가 ^ ^",- 한미 미래연합사령부 논의 불가 청원 ^ ^,,,12
33,12,,,"- 한, 미 미래연합사령부 논의 불가 ^ ^",한미 미래연합사령부 논의 불가 청원^^,3.2,1.0,12
37,13,,,오! 사이즈가 딱! 맞나용??,오 … 거기서 … 그럼 프로포즈하신 걸까요!..?,,,13
36,13,boostcamp-sts-v1-dev-013,slack-sampled,오! 사이즈가 딱 맞나용??,오… 거기서… 프로포즈하신 걸까요!..?,0.0,0.0,13
34,13,,,오! 사이즈가 딱! 맞나용??,오… 거기서… 프로포즈하신 걸까요!..?,0.0,0.0,13
35,13,,,오! 사이즈가 딱 맞나용??,오 … 거기서 … 그럼 프로포즈하신 걸까요!..?,0.0,0.0,13
38,14,,,액션 액션도 별로고 긴장감도 없었네요,"스토리는 기대도 안했고, 액션도 그닥이다.",2.2,0.0,14
39,14,boostcamp-sts-v1-dev-014,nsmc-sampled,액션도 별로고 긴장감도 없었네요,"스토리는 기대도 안했고, 액션도 그닥이다.",2.2,0.0,14
40,14,,,액션 액션도 별로고 긴장감도 없었네요,"스토리는 기대도 전혀 안했고, 액션도 그닥이다.",,,14
41,14,,,액션도 별로고 긴장감도 없었네요,"스토리는 기대도 전혀 안했고, 액션도 그닥이다.",2.2,0.0,14
42,15,,,이제 경제에 집중해야합니다,이 경제를 제발 살게끔 해주세요,2.2,0.0,15
43,15,boostcamp-sts-v1-dev-015,petition-sampled,이제 경제에 집중해야합니다,이 경제를 제발 살게 해주세요,2.2,0.0,15
44,16,,,너무 가슴이 먹먹해서 어쩔 바를 모르겠습니다.,가슴이 너무 먹먹하다,2.6,1.0,16
45,16,boostcamp-sts-v1-dev-016,nsmc-sampled,가슴이 먹먹해서 어쩔 바를 모르겠습니다.,가슴이 너무 먹먹하다,2.6,1.0,16
47,17,,,아 진짜 고기 짱맛이었습니다 ㅋㅋㅋ,역시나 짱짱이었습니다,2.6,1.0,17
46,17,boostcamp-sts-v1-dev-017,slack-sampled,진짜 고기 짱맛이었습니다 ㅋㅋㅋ,역시나 짱짱이었습니다,2.6,1.0,17
48,18,boostcamp-sts-v1-dev-018,slack-rtt,코파일럿은 사랑입니다,조종사는 사랑입니다,3.2,1.0,18
49,19,,,매튜본이 대단한 감독이엇다는걸 새삼절감,어메이징 보다가 이걸 보면 샘 레이미가 얼마나 쩌는 감독인지 새삼 느끼게 됨...,1.2,0.0,19
50,19,,,매튜본이 대단한 감독이엇다는걸 새삼절감,어메이징 보다가 이걸 보면 샘 레이미가 이게 얼마나 쩌는 감독인지를 새삼 느끼게 됨...,,,19
51,19,,,매튜본 대단한 감독이엇다는걸 새삼절감,어메이징 보다가 이걸 보면 샘 레이미가 이게 얼마나 쩌는 감독인지를 새삼 느끼게 됨...,1.2,0.0,19
52,19,boostcamp-sts-v1-dev-019,nsmc-sampled,매튜본 대단한 감독이엇다는걸 새삼절감,어메이징 보다가 이걸 보면 샘 레이미가 얼마나 쩌는 감독인지 새삼 느끼게 됨...,1.2,0.0,19
53,20,boostcamp-sts-v1-dev-020,petition-rtt,법무장관처럼 강력한 소신이 있는 정책자가 필요합니다.,법무장관처럼 확고한 신념을 가진 정책 입안자가 필요합니다.,4.0,1.0,20
54,20,,,법무장관처럼 보다 강력한 소신이 있는 정책자가 필요합니다.,법무장관처럼 확고한 신념을 가진 정책 입안자가 필요합니다.,4.0,1.0,20
55,20,,,법무장관처럼 보다 강력한 소신이 있는 정책자가 필요합니다.,법무장관처럼 확고한 신념을 가진 정책 입안자가 반드시 필요합니다.,,,20
56,20,,,법무장관처럼 강력한 소신이 있는 정책자가 필요합니다.,법무장관처럼 확고한 신념을 가진 정책 입안자가 반드시 필요합니다.,4.0,1.0,20
60,21,,,영화의 야한얘기가 한편으로 우리가 흔히 생각하는 무엇인가와 통하는것같다.,한편으로 이 영화의 음란한 이야기는 지금 우리가 생각하는 것과도 관련이 있는 것 같습니다.,,,21
59,21,,,영화의 야한얘기가 한편으로 우리가 생각하는 무엇인가와 통하는것같다.,한편으로 이 영화의 음란한 이야기는 지금 우리가 생각하는 것과도 관련이 있는 것 같습니다.,3.8,1.0,21
57,21,boostcamp-sts-v1-dev-021,nsmc-rtt,영화의 야한얘기가 한편으로 우리가 생각하는 무엇인가와 통하는것같다.,한편으로 이 영화의 음란한 이야기는 우리가 생각하는 것과 관련이 있는 것 같습니다.,3.8,1.0,21
58,21,,,영화의 야한얘기가 한편으로 우리가 흔히 생각하는 무엇인가와 통하는것같다.,한편으로 이 영화의 음란한 이야기는 우리가 생각하는 것과 관련이 있는 것 같습니다.,3.8,1.0,21
61,22,,,끄앙! ㅋㅋ 2017년부터의 인연이면 …? 너무 짧아요?,17년부터의 인연도 상당합니다.,1.6,0.0,22
62,22,boostcamp-sts-v1-dev-022,slack-sampled,끄앙! ㅋㅋ 2017년부터의 인연이면… 너무 짧아요?,17년부터의 인연도 상당합니다.,1.6,0.0,22
63,23,,,문득 스님의 말씀이 듣고 싶어졌습니다.,"스님, 벌써 그립습니다.",0.8,0.0,23
64,23,boostcamp-sts-v1-dev-023,nsmc-sampled,스님의 말씀이 듣고 싶어졌습니다.,"스님, 벌써 그립습니다.",0.8,0.0,23
65,24,boostcamp-sts-v1-dev-024,nsmc-sampled,미국판은 제임스 맥어보이 에밀리 블런트던데..,에이미 애덤스와 에밀리 블런트를 동시에 볼 수 있다니 :) 평점 .,0.6,0.0,24
66,24,,,미국판은 제임스 맥어보이 에밀리 블런트던데..,"게다가, 에이미 애덤스와 에밀리 블런트를 동시에 볼 수 있다니 : ) 평점.",0.6,0.0,24
67,24,,,미국판은 제임스 맥어보이 에밀리오 블런트던데..,에이미 애덤스와 에밀리 블런트를 동시에 볼 수 있다니 :) 평점 .,0.6,0.0,24
68,24,,,미국판은 제임스 맥어보이 에밀리오 블런트던데..,"게다가, 에이미 애덤스와 에밀리 블런트를 동시에 볼 수 있다니 : ) 평점.",,,24
70,25,boostcamp-sts-v1-dev-025,slack-sampled,오늘자 하늘! 입니다,아 오늘 하늘 정말 예뻤죠!!!!,2.6,1.0,25
69,25,,,오늘자 하늘! 입니다,아 오늘도 하늘 정말 예뻤죠!!!!,2.6,1.0,25
72,26,,,전기차 정부혜택 시급합니다.,전기차에게 대한 정부의 혜택이 시급합니다.,4.6,1.0,26
71,26,boostcamp-sts-v1-dev-026,petition-rtt,전기차 정부혜택 시급합니다.,전기차에 대한 정부의 혜택이 시급합니다.,4.6,1.0,26
73,27,boostcamp-sts-v1-dev-027,nsmc-rtt,초등학생 졸업 작품?,초등학교 졸업작품?,4.4,1.0,27
74,28,boostcamp-sts-v1-dev-028,slack-rtt,당연히 둘다 먹는거 아닌가요!,물론 둘 다 먹지는 않는다!,0.8,0.0,28
75,28,,,당연히 이건 둘다 먹는거 아닌가요!,물론 둘 다 먹지는는 않는다!,,,28
76,28,,,당연히 이건 둘다 먹는거 아닌가요!,물론 둘 다 먹지는 않는다!,0.8,0.0,28
77,28,,,당연히 둘다 먹는거 아닌가요!,물론 둘 다 먹지는는 않는다!,0.8,0.0,28
78,29,,,엥 제가 2등인가요? ㅋㅋ,엥 은메달인가요? 제가? ㅋㅋ,2.6,1.0,29
79,29,boostcamp-sts-v1-dev-029,slack-sampled,엥 제가 2등인가요? ㅋㅋ,엥 은메달인가요 제가? ㅋㅋ,2.6,1.0,29
80,29,,,엥 제가 2등인가요?? ㅋㅋ,엥 은메달인가요? 제가? ㅋㅋ,,,29
81,29,,,엥 제가 2등인가요?? ㅋㅋ,엥 은메달인가요 제가? ㅋㅋ,2.6,1.0,29
85,30,,,국회의원을 거쳐 명예직으로 전환후 기본급 조정,또 공무원 퇴직후 재취업시 연금 지급을 중지하거나 최소화,,,30
84,30,,,국회의원을 거쳐 명예직으로 전환후 기본급 조정,공무원 퇴직후 재취업시 연금 지급을 중지하거나 최소화,0.0,0.0,30
82,30,boostcamp-sts-v1-dev-030,petition-sampled,국회의원을 명예직으로 전환후 기본급 조정,공무원 퇴직후 재취업시 연금 지급을 중지하거나 최소화,0.0,0.0,30
83,30,,,국회의원을 명예직으로 전환후 기본급 조정,또 공무원 퇴직후 재취업시 연금 지급을 중지하거나 최소화,0.0,0.0,30
86,31,,,진짜 마이클 베이의 역작이네요... 폭풍감동,보다가감동...진짜울뻔,1.6,0.0,31
87,31,boostcamp-sts-v1-dev-031,nsmc-sampled,진짜 마이클 베이 역작이네요... 폭풍감동,보다가감동...진짜울뻔,1.6,0.0,31
91,32,,,그래서 그 회사는 외부하고는 그 리쿠르팅 인터뷰 시간 잡을 때 얼마 정도 쓴다고 했었습니다ㅎㅎ,그래서 이 회사에서는 외부인과의 인터뷰를 모집할 때 사용한다고 합니다.,,,32
88,32,,,그래서 그 회사는 외부하고는 그 리쿠르팅 인터뷰 시간 잡을 때 얼마 정도 쓴다고 했었습니다ㅎㅎ,그래서 회사에서는 외부인과의 인터뷰를 모집할 때 사용한다고 합니다.,3.4,1.0,32
89,32,boostcamp-sts-v1-dev-032,slack-rtt,그래서 그 회사는 외부하고는 리쿠르팅 인터뷰 시간 잡을 때 정도 쓴다고 했었습니다ㅎㅎ,그래서 회사에서는 외부인과의 인터뷰를 모집할 때 사용한다고 합니다.,3.4,1.0,32
90,32,,,그래서 그 회사는 외부하고는 리쿠르팅 인터뷰 시간 잡을 때 정도 쓴다고 했었습니다ㅎㅎ,그래서 이 회사에서는 외부인과의 인터뷰를 모집할 때 사용한다고 합니다.,3.4,1.0,32
93,33,,,여기에 청원글 열심히 써봣자 아무것도 안바뀌니까 고생하며 글쓰지말고 나가세요 여러분,가상화폐투기분들 여기에 글그만 올리고는 그만들 빠져나오세요,0.8,0.0,33
94,33,boostcamp-sts-v1-dev-033,petition-sampled,여기에 청원글 열심히 써봣자 아무것도 안바뀌니까 고생하며 글쓰지말고 나가세요 여러분,가상화폐투기분들 여기에 글그만 올리고 그만들 빠져나오세요,0.8,0.0,33
92,33,,,오늘 여기에서 청원글 열심히 써봣자 아무것도 안바뀌니까 고생하며 글쓰지말고 나가세요 여러분,가상화폐투기분들 여기에 글그만 올리고 그만들 빠져나오세요,0.8,0.0,33
95,33,,,오늘 여기에서 청원글 열심히 써봣자 아무것도 안바뀌니까 고생하며 글쓰지말고 나가세요 여러분,가상화폐투기분들 여기에 글그만 올리고는 그만들 빠져나오세요,,,33
97,34,,,운동화도 새로 장만했습니다.,운동부족으로 집에서도 할할 수 있는 스텝퍼 장만했습니다.,1.0,0.0,34
96,34,boostcamp-sts-v1-dev-034,slack-sampled,운동화도 새로 장만했습니다.,운동부족으로 집에서도 할 수 있는 스텝퍼 장만했습니다.,1.0,0.0,34
98,35,,,스터디도 함께 일정이 정리되어 있으면 좋겠습니다.,이번주 스터디는 이제 잠시 쉬어갑니다 ~,1.2,0.0,35
99,35,boostcamp-sts-v1-dev-035,slack-sampled,스터디도 함께 일정이 정리되어 있으면 좋겠습니다.,이번주 스터디는 잠시 쉬어갑니다~,1.2,0.0,35
100,35,,,스터디도 함께 일정이 정리되어 있으면 참 좋겠습니다.,이번주 스터디는 이제 잠시 쉬어갑니다 ~,,,35
101,35,,,스터디도 함께 일정이 정리되어 있으면 참 좋겠습니다.,이번주 스터디는 잠시 쉬어갑니다~,1.2,0.0,35
102,36,boostcamp-sts-v1-dev-036,slack-rtt,음악룸들 만들어 봅시다.,음악실을 만들어 봅시다.,3.8,1.0,36
103,37,boostcamp-sts-v1-dev-037,slack-sampled,조만간 또 오프에서 뵈어요 ㅎㅎㅎ,네! ㅋㅋ 아님 다음에 오프에서 뵐때 제꺼 체험해보세요 ㅋㅋ,1.8,0.0,37
104,37,,,조만간 또 오프에서 다시 뵈어요 ㅎㅎㅎ,네! ㅋㅋ 아님 다음에 오프에서 다시 뵐때 제꺼 체험해보세요 ㅋㅋ,,,37
105,37,,,조만간 또 오프에서 다시 뵈어요 ㅎㅎㅎ,네! ㅋㅋ 아님 다음에 오프에서 뵐때 제꺼 체험해보세요 ㅋㅋ,1.8,0.0,37
106,37,,,조만간 또 오프에서 뵈어요 ㅎㅎㅎ,네! ㅋㅋ 아님 다음에 오프에서 다시 뵐때 제꺼 체험해보세요 ㅋㅋ,1.8,0.0,37
107,38,boostcamp-sts-v1-dev-038,petition-sampled,이국종교수님 지원해주세요,이국종 교수님을 지원해주세요,5.0,1.0,38
108,39,boostcamp-sts-v1-dev-039,petition-sampled,선거관련 문자 전화,선거 후보자 관련 청원,0.6,0.0,39
109,39,,,선거관련 문자 전화,선거 후보자 관련한 청원,0.6,0.0,39
110,40,boostcamp-sts-v1-dev-040,slack-sampled,전쟁부터 먼저 멈추어야할텐데요...,와... 전쟁과 금리 ㅠㅠㅠ,0.8,0.0,40
111,40,,,전쟁부터 먼저 멈추어야할텐데요...,. 와... 전쟁과 금리 ㅠㅠㅠ,0.8,0.0,40
112,41,boostcamp-sts-v1-dev-041,nsmc-rtt,그래도뭐...볼만은했음 이휘재씨덕분에..,암튼.. 볼만했어요 이휘재님 덕분에...,4.2,1.0,41
113,41,,,그래도뭐...볼만은했음 이휘재씨덕분에..,암튼.. 볼만했어요 이휘재님. 덕분에...,4.2,1.0,41
114,42,,,학기 잘 마무리하시고 다음에 기회가 되면 또 뵀으면 좋겠습니다,일하면서 길게 얘기할 만한 기회가 많지 않았는데 다음에 또 뵀으면 참 좋겠습니다,,,42
115,42,,,학기 잘 마무리하시고 다음에 기회가 되면 또 뵀으면 좋겠습니다,일하면서 길게 얘기할 기회가 많지 않았는데 다음에 또 뵀으면 좋겠습니다,2.2,0.0,42
116,42,,,학기 잘 마무리하시고 다음에 기회 되면 또 뵀으면 좋겠습니다,일하면서 길게 얘기할 만한 기회가 많지 않았는데 다음에 또 뵀으면 참 좋겠습니다,2.2,0.0,42
117,42,boostcamp-sts-v1-dev-042,slack-sampled,학기 잘 마무리하시고 다음에 기회 되면 또 뵀으면 좋겠습니다,일하면서 길게 얘기할 기회가 많지 않았는데 다음에 또 뵀으면 좋겠습니다,2.2,0.0,42
120,43,boostcamp-sts-v1-dev-043,nsmc-rtt,"원작이 좋은지는 모르겠으나,개인적으로 이영화만본 나는 지루함+영화의 어색함을 느꼈다.",원작이 좋은지는 모르겠지만 개인적으로 이 영화를 보고 나서 영화의 지루함 + 어색함을 느꼈다.,4.6,1.0,43
121,43,,,"원작이 좋은지는 모르겠으나, 개인적으로 이영화만본의 나는 지루함 + 영화의 어색함을 느꼈다.",물론 원작이 좋은지는 모르겠지만 개인적으로는 이 영화를 보고 나서 영화의 지루함 + 어색함을 느꼈다.,,,43
118,43,,,"원작이 좋은지는 모르겠으나, 개인적으로 이영화만본의 나는 지루함 + 영화의 어색함을 느꼈다.",원작이 좋은지는 모르겠지만 개인적으로 이 영화를 보고 나서 영화의 지루함 + 어색함을 느꼈다.,4.6,1.0,43
119,43,,,"원작이 좋은지는 모르겠으나,개인적으로 이영화만본 나는 지루함+영화의 어색함을 느꼈다.",물론 원작이 좋은지는 모르겠지만 개인적으로는 이 영화를 보고 나서 영화의 지루함 + 어색함을 느꼈다.,4.6,1.0,43
122,44,boostcamp-sts-v1-dev-044,slack-rtt,ㅋㅋ두분 남매 바이브,ㅎㅎ 두 남매 분위기,3.6,1.0,44
123,44,,,ㅋㅋ두분 남매 바이브,ㅎㅎ 두 남매의 분위기,3.6,1.0,44
124,45,,,여성인권을 위협하는 모든 모든 현 상태의 특정 게임 시스템에 대하여 엄중한 처벌을 요구합니다.,여성의 인권을 위협하는 현행 특정 게임 시스템에 대한 강력한 처벌이 요구된다.,4.2,1.0,45
125,45,boostcamp-sts-v1-dev-045,petition-rtt,여성인권을 위협하는 현 상태의 특정 게임 시스템에 대하여 엄중한 처벌을 요구합니다.,여성의 인권을 위협하는 현행 특정 게임 시스템에 대한 강력한 처벌이 요구된다.,4.2,1.0,45
126,45,,,여성인권을 위협하는 현 상태의 특정 게임 시스템에 대하여 엄중한 처벌을 요구합니다.,또한 여성의 인권을 위협하는 현행 특정 게임 시스템에 이에 대한 강력한 처벌이 요구된다.,4.2,1.0,45
127,45,,,여성인권을 위협하는 모든 모든 현 상태의 특정 게임 시스템에 대하여 엄중한 처벌을 요구합니다.,또한 여성의 인권을 위협하는 현행 특정 게임 시스템에 이에 대한 강력한 처벌이 요구된다.,,,45
128,46,boostcamp-sts-v1-dev-046,petition-sampled,불법난민 불법체류자 추방합시다,가짜난민 불법체류자 모두 추방합시다,3.6,1.0,46
129,46,,,불법난민 불법체류자 추방합시다,가짜난민자와 불법체류자 모두 추방합시다,3.6,1.0,46
130,47,,,난 애라서 재밌네요...그럭저럭,그냥 그럭저럭 ~ 재밌긴한데 스토리를 너무꼬아놔서 머리아프다 ~,2.2,0.0,47
131,47,boostcamp-sts-v1-dev-047,nsmc-sampled,난 애라서 재밌네요...그럭저럭,그냥 그럭저럭 재밌긴한데 스토리를 너무꼬아놔서 머리아프다~,2.2,0.0,47
135,48,boostcamp-sts-v1-dev-048,slack-sampled,허걱 ㅋㅋ 즐거운 대화였습니다.,눈물 살짝 훔치며 즐거운 이야기 나누었습니다! ㅋㅋㅋ,2.0,0.0,48
134,48,,,허걱 ㅋㅋ 즐거운 대화였습니다.,눈물 살짝 훔치며 함께 즐거운 이야기 나누었습니다! ㅋㅋㅋ,2.0,0.0,48
133,48,,,허걱 ㅋㅋ 참 즐거운 대화였습니다.,눈물 살짝 훔치며 즐거운 이야기 나누었습니다! ㅋㅋㅋ,2.0,0.0,48
132,48,,,허걱 ㅋㅋ 참 즐거운 대화였습니다.,눈물 살짝 훔치며 함께 즐거운 이야기 나누었습니다! ㅋㅋㅋ,,,48
136,49,,,그리고 다시 한번 가족의 정을 느낄 수 있었습니다 ^ ^,지금은 사랑하는 사람과 가족이 얼마나 소중한지 다시 한 번 느낄 볼 수 있었습니다..,,,49
137,49,,,그리고 다시 한번 가족의 정을 느낄 수 있었습니다 ^ ^,지금 사랑하는 사람과 가족이 얼마나 소중한지 다시 한 번 느낄 수 있었습니다..,2.6,1.0,49
138,49,boostcamp-sts-v1-dev-049,nsmc-sampled,다시 한번 가족의 정을 느낄 수 있었습니다^^,지금 사랑하는 사람과 가족이 얼마나 소중한지 다시 한 번 느낄 수 있었습니다..,2.6,1.0,49
139,49,,,다시 한번 가족의 정을 느낄 수 있었습니다^^,지금은 사랑하는 사람과 가족이 얼마나 소중한지 다시 한 번 느낄 볼 수 있었습니다..,2.6,1.0,49
140,50,boostcamp-sts-v1-dev-050,petition-sampled,외국인 무비자 입국페지요망,제주도 중국인 무비자 폐지 바랍니다.,3.0,1.0,50
141,50,,,외국인 무비자 입국페지요망,제주도 중국인 관광객 무비자 폐지 바랍니다.,3.0,1.0,50
142,51,,,비록 여자지만 군가산점제도 부활해주시고 무고죄 형량 강화해주시길 바랍니다,저는 여자지만 병역가점제가 되살아나서 무죄가 선고되기를 바랍니다.,,,51
143,51,,,여자지만 군가산점제도 부활해주시고 무고죄 형량 강화해주시길 바랍니다,저는 여자지만 병역가점제가 되살아나서 무죄가 선고되기를 바랍니다.,1.8,0.0,51
144,51,,,비록 여자지만 군가산점제도 부활해주시고 무고죄 형량 강화해주시길 바랍니다,저는 여자지만 병역가점제가 되살아나 무죄가 선고되기를 바랍니다.,1.8,0.0,51
145,51,boostcamp-sts-v1-dev-051,petition-rtt,여자지만 군가산점제도 부활해주시고 무고죄 형량 강화해주시길 바랍니다,저는 여자지만 병역가점제가 되살아나 무죄가 선고되기를 바랍니다.,1.8,0.0,51
147,52,boostcamp-sts-v1-dev-052,nsmc-sampled,지겨운면도 있었지만 흥미진진했음.,줄거리도 재밌고 나름 흥미진진함.,2.4,0.0,52
146,52,,,지겨운면도 있었지만 흥미진진했음.,"줄거리도 재밌고, 나름 흥미진진함.",2.4,0.0,52
148,53,boostcamp-sts-v1-dev-053,nsmc-sampled,평점대비 너무 하네요~,평점 너무 낮아..,1.2,0.0,53
149,54,boostcamp-sts-v1-dev-054,nsmc-sampled,고성희누나 힘내세요ㅎㅎ,하휘동님 힘내세요~,1.8,0.0,54
150,55,boostcamp-sts-v1-dev-055,nsmc-sampled,만들어진 년도를 감안해도 정말 살떨리는 유지판타지 주인공들의 연기력역시 바닥ㅋㅋ 어쩔 ㅋㅋ,진짜 배우들연기력이 대박이다..,0.4,0.0,55
151,55,,,만들어진 제작 년도를 감안해도 정말 살떨리는 유지판타지는 주인공들의 연기력역시 바닥ㅋㅋ 어쩔 ㅋㅋ,진짜 배우들연기력이 대박이다..,0.4,0.0,55
152,56,boostcamp-sts-v1-dev-056,nsmc-sampled,올 여름 모두 신나게 즐길만한 영화인듯해요~!!!!,ㅋㅋ 정말 잼있었던 영화!!!!,2.0,0.0,56
153,56,,,올 여름은 모두 신나게 즐길만한 영화인듯해요 ~!!!!,ㅋㅋ ㅋㅋ 정말 잼있었던 영화!!!!,,,56
154,56,,,올 여름은 모두 신나게 즐길만한 영화인듯해요 ~!!!!,ㅋㅋ 정말 잼있었던 영화!!!!,2.0,0.0,56
155,56,,,올 여름 모두 신나게 즐길만한 영화인듯해요~!!!!,ㅋㅋ ㅋㅋ 정말 잼있었던 영화!!!!,2.0,0.0,56
159,57,,,"여성가족부의 돌봄정책 운영실패와 방만하고 무책임한 운영에 대해 특별감사를 실시하고, 가족과 다문화정책 운영을 보건복지부로 이관해주세요!","여성가족부의 돌봄정책 운영실패와 그 소홀하고 무책임한 운영에 대해 특별감사를 즉각 실시하고, 가족 및 다문화정책 운영을 보건복지부로 조속히 이관해주세요!",4.8,1.0,57
158,57,,,"여성가족부의 돌봄정책 운영실패와 방만하고 무책임한 정책 운영에 대해 특별감사를 실시하고, 가족과 다문화정책 운영을 보건복지부로 조속히 이관해주세요!","여성가족부의 돌봄정책 운영실패와 그 소홀하고 무책임한 운영에 대해 특별감사를 즉각 실시하고, 가족 및 다문화정책 운영을 보건복지부로 조속히 이관해주세요!",,,57
156,57,,,"여성가족부의 돌봄정책 운영실패와 방만하고 무책임한 정책 운영에 대해 특별감사를 실시하고, 가족과 다문화정책 운영을 보건복지부로 조속히 이관해주세요!","여성가족부의 돌봄정책 운영실패와 그 소홀하고 무책임한 운영에 대해 특별감사를 실시하고, 가족 및 다문화정책 운영을 보건복지부로 이관해주세요!",4.8,1.0,57
