,sentence,sentence_bert,are_equal
1505,우리가 어떤 세상에 살고 있는지... 불편한 진실.,우리가 어떤 세상에 살고 있는지.... 불편한 진실.,True
1541,그래픽이 원래 이렇게 좋았나요? ㅋㅋ,ㅋㅋ 그래픽이 원래 이렇게 좋았나요? ㅋㅋ,True
1562,저도 어제바꿨는데 바꾸면서 유효기간보고 깜놀..ㅋㅋ,저도. 어제바꿨는데 바꾸면서 유효기간보고 깜놀.. ㅋㅋ,True
1598,고민을 함께 나눠주시며 줌바를 추천해주셨습니다!,"고민을 함께 나눠주시며, 줌바를 추천해주셨습니다!",True
1851,소시오패스를 연기하는 자체가 모순,- 소시오패스를 연기하는 자체가 모순,True
1921,길들여 진다는 것이 이렇게 무서울 수 있다니..하지만 불쾌한 감정들..,길들여 진다는 것이. 이렇게 무서울 수 있다니.. 하지만 불쾌한 감정들..,True
1932,보통 그 대형모니터쪽에 있었죠..?,? 보통 그 대형모니터쪽에 있었죠..?,True
2034,빌라에 사는데 다달이 관리비로 10만원씩 내고 있습니다,"빌라에 사는데, 다달이 관리비로 10만원씩 내고 있습니다",True
2083,"구적폐와 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오","구적폐와, 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오",True
2107,넵 초대드렸습니다! (오전 중에 한다는게...),넵 초대드렸습니다!! ( 오전 중에 한다는게... ),True
2148,즉 한국 시장으로 치면 만관객이란 말.,"즉, 한국 시장으로 치면 만관객이란 말.",True
2211,오... 좋아요 구독 눌렀습니다!,오... 좋아요! 구독 눌렀습니다!,True
2231,대한항공오너 유한주식회사세모오너 청해진해운오너 소쿠리상사오너들의공익사업근거로하여무죄기각구속장부미제무효신청합니다,"대한항공오너 유한주식회사세모오너, 청해진해운오너 소쿠리상사오너들의공익사업근거로하여무죄기각구속장부미제무효신청합니다",True
2248,이영화도..근데 아흔에도 저게 안잊혀진단 말이죠....,이영화도.. 근데 아흔에도. 저게 안잊혀진단 말이죠....,True
2258,일자리 막는 과감한 규제 혁신'은 중단해야 한다.,일자리 막는 과감한 규제'혁신'은 중단해야 한다.,True
2397,제건 7명 이상 무리데스네요 ㅋ.ㅋ ㅋㅋ,제건 7명 이상 무리데스네요. ㅋ. ㅋ ㅋㅋ,True
2448,제발 산업과 공학에 신경써주세요!!,"제발, 산업과 공학에 신경써주세요!!",True
2474,단한곳. 단한명이서시간분동안 딴짓을 못하게 한다.,> 단한곳. 단한명이서시간분동안 딴짓을 못하게 한다.,True
2489,왠 컬트무비? 환상여행? 이라기보담 이정도 되면 컬트에 가까움,왠 컬트무비? 환상여행?? 이라기보담 이정도 되면 컬트에 가까움,True
2621,이것도 꼭 투표 부탁드립니다 :),"이것도, 꼭 투표 부탁드립니다 : )",True
2656,안본 사람은 있어도 한번만 본사람은 없다는 그 전설의 애니인가? ㅋ,ㅋ 안본 사람은 있어도 한번만 본사람은 없다는 그 전설의 애니인가?? ㅋ,True
2734,"오오... 네 따로 검색해서 잘 공부해볼게요,",". 오오... 네 따로 검색해서 잘 공부해볼게요,",True
2773,정봉주와 여기자의 진실 또는 거짓에 대한 청원,ⓒ 정봉주와 여기자의 진실 또는 거짓에 대한 청원,True
2782,기간제 정리하고 정규직 채용이 일자리 창출인가요!!!,"기간제 정리하고, 정규직 채용이 일자리 창출인가요!!!",True
2806,저도 홍콩에서 리콜 받았어요 ㅎ,저도 홍콩에서 리콜 받았어요. ㅎ,True
2844,음.. YP 같은 느낌도 듭니다 ㅠ,. 음.. YP 같은 느낌도 듭니다 ㅠ,True
2882,오토바이 전 세계 자유로 자동차 폐지 요청,"오토바이 전, 세계 자유로 자동차 폐지 요청",True
2934,음주운전도 중요하지만 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.,"음주운전도 중요하지만, 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.",True
2957,수소차가 공기정화의 기능이 된다면 서울시 택시를 수소차로,"수소차가 공기정화의 기능이 된다면, 서울시 택시를 수소차로",True
2997,굿바이 레닌' 으로 한국에서 사기치기..,굿바이 레닌'으로 한국에서'사기치기..,True
3006,(현직 변호사) 사법 피해 호소문,"( 현직 변호사 ), 사법 피해 호소문",True
3149,아 또 보고싶은 영화...,"아, 또 보고싶은 영화...",True
3220,참고로 저는 사업자 아님 ...,참고로 저는 사업자 아님....,True
3285,"페드로 알모도바르, 또 다른 신세계.","페드로 알모도바르, 또 다른, 신세계.",True
3288,대학원 후배가 이걸 찾아서 저에게 보내왔어요 ㅋㅋ,대학원 후배가 이걸 찾아서 저에게 보내왔어요. ㅋㅋ,True
3420,와 다들 나랑 똑같네 ㅋㅋ,와 ~ 다들 나랑 똑같네 ㅋㅋ,True
3507,. 분량 시간분.난뭘본걸까? 레이 개실망...,.. 분량 시간분. 난뭘본걸까? 레이 개실망...,True
3518,이선균연기/목소리톤은 맨날 발전이 없다!,이선균연기 / 목소리톤은. 맨날 발전이 없다!,True
3586,이나영팬이어서 봤었는데 보고나서 이나영한테 급실망했었다.,"이나영팬이어서 봤었는데, 보고나서 이나영한테 급실망했었다.",True
3605,청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고 무분별한 비판을 허용해주세요,"청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고, 무분별한 비판을 허용해주세요",True
3713,퇴근하고 자기전에보기 무겁지도않고 좋은프로~,퇴근하고 자기전에보기 무겁지도않고 ~ 좋은프로 ~,True
3763,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습 ㅋ,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습. ㅋ,True
3831,"ㅋㅋ ‘갑서‘, ‘가게마씸’ 뉘앙스 차이 검증 했습니다","ㅋㅋ ㅋㅋ ‘ 갑서 ‘, ‘ 가게마씸 ’ 뉘앙스 차이 검증 했습니다",True
3888,허걱.. 요즘 제가 골초가 된 듯 ㅠㅠ,허걱.. 요즘 제가 골초가 된 듯. ㅠㅠ,True
3916,오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!,! 오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!,True
3921,쑈를 하라! 쑈! 쑈! 쑈!,쑈를 하라!! 쑈! 쑈! 쑈!,True
3957,정말 알면알수록 역겨운 연예인!,! 정말 알면알수록 역겨운 연예인!,True
3983,올해 한국 사극영화들 왜이럼?,- 올해 한국 사극영화들 왜이럼?,True
4016,여지껏 봤던 단편에서 가장 잘 잡힌 케릭터!,"여지껏 봤던 단편에서, 가장 잘 잡힌 케릭터!",True
4100,같이 기획해보아요! : ),같이 기획해보아요!! : ),True
4105,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데 이건좀 아니다.,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데. 이건좀 아니다.,True
4141,"세기 ""레니 할린, 작품은 ""마인트헌터, 뿐인가!? 연출이 tv판 수준!",""" 세기 "" 레니 할린, 작품은 "" 마인트헌터, 뿐인가!? 연출이 tv판 수준!",True
4144,이것도 그렇고 주유소 습격사건도 그렇고.......,"이것도 그렇고, 주유소 습격사건도 그렇고.......",True
4179,그럼 내일 우리팀은 무조건 이기는 겁니다.,"그럼, 내일 우리팀은 무조건 이기는 겁니다.",True
4344,삼청동에는 힙한 곳이 많군요...,. 삼청동에는 힙한 곳이 많군요...,True
4439,이 게임도 추천드려요 ㅎㅎ,이 게임도 추천드려요. ㅎㅎ,True
4463,증권사도 개혁해야 투자 활성화로 경제활동 좋아질듯,증권사도 개혁해야 … 투자 활성화로 경제활동 좋아질듯,True
4499,오늘 쉬는 날이었군요? ㅠㅠ,오늘 쉬는 날이었군요?? ㅠㅠ,True
4601,지지율이 40% 대라고 ?? 믿을수없다!!,지지율이 40 % 대라고??? 믿을수없다!!,True
4603,완전 대박 불쌍함 여자..ㅠㅠ%,완전. 대박 불쌍함 여자.. ㅠㅠ %,True
4621,저도 이번 달의 언젠가 졸업합니다..!,저도. 이번 달의 언젠가 졸업합니다..!,True
4648,아니 이런 성스러운 채널이 있는지 입사 3달만에 알았습니다!,! 아니 이런 성스러운 채널이 있는지 입사 3달만에 알았습니다!,True
4655,전 지금은 못가지만 한때 러버로서 눈팅으로라도 힐링하고자 조인햇슴니당,전 지금은 못가지만. 한때 러버로서 눈팅으로라도 힐링하고자 조인햇슴니당,True
4719,저도 여러번 찍어오거나 받아왔는데 말이죠...,"저도 여러번 찍어오거나, 받아왔는데 말이죠...",True
4846,네ㅋㅋ 알람 뜨더라고요! : ),네ㅋㅋ 알람 뜨더라고요! : - ),True
4899,열매 먹을 수 있나요? 궁금궁금],열매 먹을 수 있나요? [ 궁금궁금 ],True
5020,GDI 엔진 엔진오일감소 현상 조사 및 조사과정 공론화.,- GDI 엔진 엔진오일감소 현상 조사 및 조사과정 공론화.,True
5081,저도 빨리 나오면 좋겠네요 ㅋㅋㅋ,저도 빨리 나오면 좋겠네요. ㅋㅋㅋ,True
5133,우와 진짜멋져요... 마테호른 바라보며 스키라니...ㅠㅠ,. 우와 진짜멋져요... 마테호른 바라보며 스키라니... ㅠㅠ,True
5143,"로컬스티치! 라는 공유오피스가 있는데 곧 신사, 가로수길점이 생간다고 들었어요!!","로컬스티치!! 라는 공유오피스가 있는데 곧 신사, 가로수길점이 생간다고 들었어요!!",True
5165,"서번째 보면서 눈물을 흘렸다,,",", 서번째 보면서 눈물을 흘렸다,,",True
5200,김희철과 예능심판자는 서로 안맞는듯..,. 김희철과 예능심판자는 서로 안맞는듯..,True
5352,안성기가 김규리에 반하다니.. 무리수.,. 안성기가 김규리에 반하다니.. 무리수.,True
5409,이뻣던 종초홍~ 그리고 홍금보..,이뻣던 종초홍 ~ ~ 그리고 홍금보..,True
5468,오 저도 버터플라이 한단 모셔왔는데! ㅎㅎ,ㅎㅎ 오 저도 버터플라이 한단 모셔왔는데! ㅎㅎ,True
5515,저도 사실 보자마자 이게 떠오르긴 했… ㅋㅋ,저도 사실 보자마자 이게 떠오르긴 했 … … ㅋㅋ,True
5605,대게 재밌게 봤는데 이게 한국꺼였구나...,대게 재밌게 봤는데. 이게 한국꺼였구나...,True
5646,리얼미터 전국조사 503명이 전체를 전국대표한다니 공표를 못하게좀 해 주세요,"리얼미터 전국조사 503명이 전체를 전국대표한다니, 공표를 못하게좀 해 주세요",True
5677,헤헷 자꾸 동여매서 결국 똑같아지는 중이예용ㅋㅋ,헤헷 자꾸 동여매서 ㅋㅋㅋ 결국 똑같아지는 중이예용ㅋㅋ,True
5690,와 한달에 단편소설 한 편 작성.. 대단하셔요 !! 궁금해집니다!!!,. 와 한달에 단편소설 한 편 작성.. 대단하셔요!! 궁금해집니다!!!,True
5733,실제 배경이였고...! 멋진 뷰에 살고 계시더라구요!!,! 실제 배경이였고...! 멋진 뷰에 살고 계시더라구요!!,True
5744,오 거의 똑같네요 ㅋㅋ,오 거의 똑같네요. ㅋㅋ,True
5785,빗썸 원화 출금 금지 풀어주시고 해킹이 맞는지 압수수색 부탁드립니다.,빗썸 원화 출금 금지 풀어주시고 해킹이 맞는지. 압수수색 부탁드립니다.,True
5791,그러고 보니 대부분 그냥 업체 잔들이네요. ㅋㅋ,그러고 보니 대부분 그냥 업체 잔들이네요.. ㅋㅋ,True
5798,그래서 사업자번호 및 회사 전화번호를 -(대시)를 빼고 입력되어있으면 어떨까..,- 그래서 사업자번호 및 회사 전화번호를 - ( 대시 ) 를 빼고 입력되어있으면 어떨까..,True
5904,시간이넘는닥터지바고도 거뜬히 보는 내가.,시간이넘는닥터지바고도. 거뜬히 보는 내가.,True
6007,어떤 장단점이 있는지 지금 불편한점은 어떤 부분인지 비용이 얼마인지 알려주시면 바로 검토해서 고고 해봅시다.,"어떤 장단점이 있는지, 지금 불편한점은 어떤 부분인지, 비용이 얼마인지 알려주시면 바로 검토해서 고고 해봅시다.",True
6013,악마의 씨'를 만든 감독 맞아?.,악마의'씨'를 만든 감독 맞아?.,True
6052,조두순 출소를 막을 방법은 현실적으론 없지않을까요..,"조두순 출소를 막을 방법은, 현실적으론 없지않을까요..",True
6065,과반도 넘지못하여 그냥 pro 계정을 쓰는것으로 ㅠ_ㅎㅎ,과반도 넘지못하여 그냥 pro 계정을 쓰는것으로. ㅠ _ ㅎㅎ,True
6084,궁금해서 discussion 구경해보니 사진과 같은 글이 있네요 ㅋㅋㅋ,궁금해서 discussion 구경해보니 사진과 같은 글이 있네요. ㅋㅋㅋ,True
6119,원곡도 한 번 들어보시죠 ㅎ -,원곡도 한 번 들어보시죠? ㅎ -,True
6169,김빈종 채시라등 ㅈ더빙 정말 허접했지,김빈종 채시라등. ㅈ더빙 정말 허접했지,True
6274,"분명한거고 당연한 만남이지만, 이루어질 수 없는 민족","분명한거고, 당연한 만남이지만, 이루어질 수 없는 민족",True
6311,미세먼지 매우나쁨일때는 중학교 고등학교도 쉬게해주세요,"미세먼지 매우나쁨일때는 중학교, 고등학교도 쉬게해주세요",True
6342,VR이 있긴한데 PS4용이라서 쓸순 없을 것 같네요. ㅠ,"VR이 있긴한데, PS4용이라서 쓸순 없을 것 같네요. ㅠ",True
6408,"딸을 지켜내기 위한 아빠의 사투,,,",", 딸을 지켜내기 위한 아빠의 사투,,,",True
6490,아니 술을 마시면서 봐도 좋으려나..,. 아니 술을 마시면서 봐도 좋으려나..,True
6590,ㅎㅎㅎ 첫 댓글의 중요성. ㅋ,ㅎㅎㅎ 첫 댓글의 중요성.. ㅋ,True
6610,국방부 공사로인한 목장피해보상 요구,"국방부, 공사로인한 목장피해보상 요구",True
6795,사우나도 무슨 강남 최신식이고..,사우나도 무슨. 강남 최신식이고..,True
6878,어쩐지 손이 잘 안가더라니..,. 어쩐지 손이 잘 안가더라니..,True
6925,하루빨리 약해진 손목을 강화시켜야겠습니다 ㅎㅎ,하루빨리 약해진 손목을 강화시켜야겠습니다. ㅎㅎ,True
6930,저랑 함께.. 한번 더 들어보실래여…? ㅋㅋㅋ,저랑 함께... 한번 더 들어보실래여 …? ㅋㅋㅋ,True
6945,울산은 오늘 날씨가 봄날씨네요..!,! 울산은 오늘 날씨가 봄날씨네요..!,True
7055,한샘 국정조사 대리점과 본사의싸움에 피해는 소비자몫,"한샘 국정조사, 대리점과 본사의싸움에 피해는 소비자몫",True
7172,#최저임금 결정방식 개편에 대한 의견,# # 최저임금 결정방식 개편에 대한 의견,True
7307,올해 안에 꼭 비행기 타러가요 ㅠ_ㅠ !!!!,올해 안에 꼭 비행기 타러가요? ㅠ _ ㅠ!!!!,True
7319,ㅋㅋ 깨달음의 회식 시간이었군요..,. ㅋㅋ 깨달음의 회식 시간이었군요..,True
7346,"전기요금 이슈화 이제 그만, 이제 드루킹 특검 정국","전기요금 이슈화 이제 그만,, 이제 드루킹 특검 정국",True
7352,귀향??? 이란 제목도 억울하다...,. 귀향??? 이란 제목도 억울하다...,True
7372,볼 수록 빠져드는 마약같은 드라마 1화 부터 24화 까지 심심하지 않은 드라마였던 것 같다.,"볼 수록 빠져드는 마약같은 드라마. 1화 부터, 24화 까지 심심하지 않은 드라마였던 것 같다.",True
7404,여하튼 많이 걷는 것이 최고이긴 합니다. ㅎ,여하튼 많이 걷는 것이 최고이긴 합니다.. ㅎ,True
7410,저도 그래서 샤오미 사이클로.. ㅋㅋㅋ,저도 그래서 샤오미 사이클로... ㅋㅋㅋ,True
7428,대체; 왜 맨날 해주냐,; 대체 ; 왜 맨날 해주냐,True
7467,참 처음엔괜찮았는데 왜 뒤로갈수록 개판이냐?,"참, 처음엔괜찮았는데 왜 뒤로갈수록 개판이냐?",True
7604,국정원 특활비로 명품~ 적폐청산 앞으로의 방침,"국정원, 특활비로 명품 ~ 적폐청산 앞으로의 방침",True
7610,무슨 공익들이 교관 조교하는느낌이야 ..,무슨 공익들이 교관 조교하는느낌이야...,True
7631,그리고 노력하셨지만 사진 비율은 어쩔수 없었네요..ㅋㅋ,그리고 노력하셨지만 사진 비율은. 어쩔수 없었네요.. ㅋㅋ,True
7634,여자는 짐작만가지고 움직이지 않아요'이요원의 이말이 와닿는 요즘..,여자는'짐작만가지고 움직이지 않아요'이요원의 이말이 와닿는 요즘..,True
7637,물론 실물도 아이돌 같으심,"물론, 실물도 아이돌 같으심",True
7775,교대역.... 한번가봐야겠군요.. ㅎ 츄릅,. 교대역.... 한번가봐야겠군요.. ㅎ 츄릅,True
7791,코믹과 액션.. 진짜 밸런스 최고 ㅋㅋ,코믹과 액션.. 진짜. 밸런스 최고 ㅋㅋ,True
7839,큐넷 시험시간중 화장실 이용하게 해주세요!!,! 큐넷 시험시간중 화장실 이용하게 해주세요!!,True
7854,와 부럽... ㅠ ㅎ,와 부럽... ㅠ. ㅎ,True
7873,성수기 요금..왜 이리 비싼가요?,. 성수기 요금.. 왜 이리 비싼가요?,True
7881,저도 연극부에서 의상 담당 했었던.. ㅋㅋ,ㅋㅋ 저도 연극부에서 의상 담당 했었던.. ㅋㅋ,True
7936,아 큰 복이 내린다더니… ㅎㅎ,아 큰 복이 내린다더니 … … ㅎㅎ,True
7986,그냥 웃길려고 버둥버둥 용쓰는 사람 지켜보는 안쓰러운 기분마저든다.,"그냥 웃길려고 버둥버둥, 용쓰는 사람 지켜보는 안쓰러운 기분마저든다.",True
8157,동의합니다가 너무 웃겨서 동의를 못하겠어요,동의합니다가 너무 웃겨서. 동의를 못하겠어요,True
8223,오우 .. 역시 보기 쉽지 않은 것 이었군요..!,. 오우.. 역시 보기 쉽지 않은 것 이었군요..!,True
8271,내가 원하는 스타일!!! 재치있는 영화~ 굿잡,내가 원하는 스타일!!!! 재치있는 영화 ~ 굿잡,True
8279,가능함... 가능하겠지... 가능할거야... 바보가 아닌 이상.,가능함... 가능하겠지.... 가능할거야... 바보가 아닌 이상.,True
8463,제목은 기술자들인데 시나리오는 초보자들이 썼어요,"제목은 기술자들인데, 시나리오는 초보자들이 썼어요",True
8499,우왓!!! 첫캠핑 엄청 제대로 시작하셨네요!ㅎㅎ,! 우왓!!! 첫캠핑 엄청 제대로 시작하셨네요! ㅎㅎ,True
8550,아.. 진짜 한 십년 지난 듯한 기분이,. 아.. 진짜 한 십년 지난 듯한 기분이,True
8551,"으엇, 내일 바로 충전하겠습니다 ㅠㅠ!!!","으엇, 내일 바로 충전하겠습니다. ㅠㅠ!!!",True
8632,저도 선드립 후검색...! ㅋㅋ,ㅋㅋ 저도 선드립 후검색...! ㅋㅋ,True
8644,sbs그것이알고싶다 !축구협회 비리좀파헤쳐 주십시요,# sbs그것이알고싶다! 축구협회 비리좀파헤쳐 주십시요,True
8654,오오 저도 방금 택배 받았는데 책같이 되어있네요 ㅎㅎㅎ,오오 저도 방금 택배 받았는데 책같이 되어있네요. ㅎㅎㅎ,True
8757,와~ 잘 자랐네요 ㅎㅎ,와 ~ ~ 잘 자랐네요 ㅎㅎ,True
8824,케이트 윈슬렛 몸 잘봤다,케이트 - 윈슬렛 몸 잘봤다,True
8835,화면발 너무 잘 받네요 ㅎㅎ,화면발 너무 잘 받네요. ㅎㅎ,True
9053,박정민을 다시보게된 영화 ㅋㅋ,박정민을 다시보게된 영화. ㅋㅋ,True
9072,헉 아몬드크로아상 ㅜㅜ미국 메이드 아몬드크로아상이라니ㅜ,헉 아몬드크로아상. ㅜㅜ미국 메이드 아몬드크로아상이라니ㅜ,True
9085,재가장기요양 재무회계. 84.3 너무 심합니다,# 재가장기요양 재무회계. 84. 3 너무 심합니다,True
9266,국민연금 .. 어려운이들에게는 희망이될수있게 자율해지를..,국민연금.. 어려운이들에게는. 희망이될수있게 자율해지를..,True
76,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,투혼과 함께 반담의 최고영화. > 복수의 칼날 반담 ~,True
121,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,. ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,True
131,(잘 어울릴 수 있어요),""" ( 잘 어울릴 수 있어요 )",True
230,수정본이 오면 보여드릴게요 ㅋㅋㅋ,수정본이 오면 보여드릴게요. ㅋㅋㅋ,True
240,상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,- 상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,True
265,저희..옛날에 아주 조그만한 인연이 있더라구용...ㅎㅎ,저희.. 옛날에 아주. 조그만한 인연이 있더라구용... ㅎㅎ,True
458,"아…ㅠㅠ 고민하다가 말 걸고, 답을 기다리다가 그만.. 강퇴해프닝이 벌어졌네요.","아 … ㅠㅠ 고민하다가, 말 걸고, 답을 기다리다가 그만.. 강퇴해프닝이 벌어졌네요.",True
507,감독은 우리에게 두가지 질문을 하는것같네요 .,감독은 우리에게 두가지 질문을 하는것같네요..,True
608,이래서 탈옥영화를 좋아하게된다니까 ㅋㅋ,이래서 탈옥영화를 좋아하게된다니까. ㅋㅋ,True
663,"무분별한 창업사업화자금 선정철저, 미흡시 환수 철저히(기술혁신형 창업기업 사업을 중심으로)","무분별한 창업사업화자금, 선정철저, 미흡시 환수 철저히 ( 기술혁신형 창업기업 사업을 중심으로 )",True
728,무지한 시대앤 그나마 먹혔던...,. 무지한 시대앤 그나마 먹혔던...,True
861,연금 좀 어떻게 해주세요.. 제발..,연금 좀. 어떻게 해주세요.. 제발..,True
961,"그린, 레드, 블루는 알았는데 화이트가 있는지는 처음 알았네요!","그린, 레드, 블루는 알았는데, 화이트가 있는지는 처음 알았네요!",True
1020,오.. 메달은 항상 옳습니다. !,오.. 메달은 항상 옳습니다.!!,True
1115,근데 정말 진짜에요 !!!! 결국 오늘 점심은 배달의민족과 함께했답니다ㅎㅎ,근데 정말. 진짜에요!!!! 결국 오늘 점심은 배달의민족과 함께했답니다ㅎㅎ,True
1118,넘나 좋았던 제주도 비양도 캠핑... 크억.. 사진보니 너무 땡기네요ㅎㅎ,넘나 좋았던 제주도 비양도 캠핑... 크억... 사진보니 너무 땡기네요ㅎㅎ,True
1215,크아~~ 모두 넘 즐거우셨던 것 같네요!!,크아 ~ ~ ~ 모두 넘 즐거우셨던 것 같네요!!,True
1351,저 표정은 연출은 아닙니다.... ㅋㅋㅋ,저 표정은 연출은 아닙니다..... ㅋㅋㅋ,True
1413,자꾸 눈에선 눈물이 흘렀다...,. 자꾸 눈에선 눈물이 흘렀다...,True
1458,(아무도 잘할 수 없는 일),""" ( 아무도 잘할 수 없는 일 )",True
1624,"정종철,박준형등 이무리의 사람들이 나오는 영화는 크게 성공 안한듯?...","정종철, 박준형등. 이무리의 사람들이 나오는 영화는 크게 성공 안한듯?...",True
1669,오… 저는 먹고 운동 안 하는데 ㅠ,오 … 저는 먹고 운동 안 하는데 … ㅠ,True
1921,우리의 전통 홍길동전이 이렇게 쓰레기 같이 밟힐줄이야..어머나..,. 우리의 전통 홍길동전이 이렇게 쓰레기 같이 밟힐줄이야.. 어머나..,True
1942,와.. 햇볕이 너무 좋은데요...,. 와.. 햇볕이 너무 좋은데요...,True
1981,ㅊ최고의 로멘스 드라마 ㅠㅠ,ㅊ최고의 로멘스 드라마! ㅠㅠ,True
2086,오....저는 요즘 재활 치료를 하는 마음으로 운동을 하고 있어서...ㅎㅎ;;,. 오.... 저는 요즘 재활 치료를 하는 마음으로 운동을 하고 있어서... ㅎㅎ ; ;,True
2170,ㅋㅋㅋ 그런 것 같아요,ㅋㅋㅋ ㅋㅋㅋ 그런 것 같아요,True
2192,근데 ㅋㅋㅋ 한복 스타일 괜찮나요..?ㅋㅋㅋㅎㅎ,근데. ㅋㅋㅋ 한복 스타일 괜찮나요..? ㅋㅋㅋㅎㅎ,True
2211,헛..! 저 여기 단골이에요!,헛..!! 저 여기 단골이에요!,True
2296,"혹시 여러분들은, 한 주를 회고하는 방식이 있으신가요?~","~ 혹시 여러분들은, 한 주를 회고하는 방식이 있으신가요? ~",True
2348,이 때까지만 해도... 참...,이 때까지만 해도.... 참...,True
2397,제꺼 헤드셋 정보 입니다. ㅋㅋㅋ,ㅋㅋㅋ 제꺼 헤드셋 정보 입니다. ㅋㅋㅋ,True
2840,"ㅡ,.ㅡ"" 보다가 확 닫은영화.","ㅡ,. ㅡ "" 보다가 "" 확 닫은영화.",True
