,sentence,sentence_bert
1580,힌국 건축에 대한 의식 개선에 대한 영화가 더 많아졌으면 좋겠습니다.,힌국 건축에 대한 시민 의식 개선에 대한 영화가 좀 더 많아졌으면 좋겠습니다.
1591,일단 제가 아는 멤버들 중에는 없는것 같습니다.,일단 제가 아는 다른 멤버들 중에는 없는것 같습니다.
1598,고민을 함께 나눠주시며 줌바를 추천해주셨습니다!,"고민을 함께 나눠주시며, 줌바를 추천해주셨습니다!"
1600,작가가 이런 대를 보내면서 자랐나봄...,작가가 늘 이런 대를 보내면서 자랐나봄...
1601,"그냥 큰 음쓰통을 살까도 생각했는데, 냄새가 너무 나겠더라구요","그냥 큰 음쓰통을 살까도 하고 생각했는데, 냄새가 너무 나겠더라구요"
1616,의혹 투성이 대연비치 재건축 과정 수사 청원합니다!,의혹만 투성이 대연비치 재건축 과정 수사 청원합니다!
1622,지역인재 충남지역 대학 역차별,충남 지역인재 충남지역 대학 역차별
1624,아직도 신현준의 황장군 연기는 음...,아직도 신현준의 황장군의 연기는 음...
1626,어제 The Verge에서 소개한 핸폰보고 약간 신기했었는데() 위의 링크된 글을 보니 소프트웨어도 같이 직접 만들었다고 하네요.,어제는 The Verge에서 직접 소개한 핸폰보고 약간 신기했었는데 ( ) 위의 링크된 글을 보니 소프트웨어도 같이 직접 만들었다고 하네요.
1629,도대체 지정헌혈이 무엇인지요? 이래서 헌혈을 할까요?,도대체 지정헌혈이 무엇인지요? 이래서 헌혈을 해야 할까요?
1642,수능연기를 하되 수능고사장으로 지정된 학교는 일주일 휴교령을 내려주시기 바랍니다.,수능연기를 하되 수능고사장으로 지정된 학교는 일주일 휴교령을 내려주시기를 바랍니다.
1659,왜 히치콕이 명감독인지 알게되었어요,그리고 왜 히치콕이 명감독인지 알게되었어요
1662,이거 좀 본까지 입을수 있는 얇은 버전으로 100개 더 고고.,이거는 좀 본까지 다 입을수 있는 얇은 버전으로 100개 더 고고.
1667,두 사람이 연기 호흡이 괜찮았다,두 배우 사람이 연기 호흡이 괜찮았다
1669,오잉 제가 하면 좋은데 내용을 몰라서,오잉 제가 하면 더 좋은데 내용을 몰라서
1671,"스터디 Menu/ 나누고 싶은 정보가 있다면, Others에 링크 추가해 두었습니다.","스터디 Menu / 나누고 싶은 정보가 있다면, 다음 Others에 추가 링크 추가해 두었습니다."
1675,앗 그리고 쿠팡 기사님도 잔뜩 뭔가 놓고 가셔서 옮겨둘게요,앗 그리고 쿠팡의 기사님도 잔뜩 뭔가 놓고 가셔서 옮겨둘게요
1684,불합리한 공매도 개선 해주세요,제발 불합리한 공매도 개선 해주세요
