,sentence_1,sentence_1_bert
1407,대부분이 CV전문가를 모집하고 있네요.,대부분이 프리랜서 CV전문가를 모집하고 있네요.
1410,"웃긴게 비디오시절 편을 (공포의 세계)로, 편을 편인냥 출시했단 사실. 여튼 비추","웃긴게 비디오시절 편을 ( 공포의 세계 ) 로, 편을 다른 편인냥 출시했단 사실. 근데 여튼 비추"
1413,꼭 봐라 배꼽 떨어진다..,꼭 봐라 배꼽이 떨어진다..
1435,사법부 판사들이 민주와 합리에 대하여 정치적으로 중립할 수 있는 제도적 장치를 마련해야 합니다,사법부 판사들이 민주와 법과 합리에 대하여 정치적으로 중립할 수 있는 제도적 장치를 시급히 마련해야 합니다
1438,어디에다가 추가를 하는게 좋을까요?,어디에다가 추가를 하는게 더 좋을까요?
1439,감사하다는 말 밖에 드릴 말씀이 없네요...,감사하다는 말 밖에는 드릴 말씀이 없네요...
1443,사랑 이라는 것에 대해 다시한번 생각해봄,사랑 고백 이라는 것에 대해 다시한번 생각해봄
1447,이 컨버터를 사용해 연결한 후 DisplayLink 드라이버를 설치하면 외장 모니터를 사용할 수 있습니다.,이를 통해 컨버터를 사용해 연결한 후 DisplayLink 드라이버를 설치하면 외장 모니터를 사용할 수 있습니다.
1458,(사람도 제대로 못한다는 얘기),( 사람도 제대로 못한다는 식의 얘기 )
1481,그러고 주말에는 꿀 같은 휴식과 약간의 밀린업무..! 를 하셨다고.. ㅎㅎ,"그러고 주말에는 꿀 같은 휴식과 함께, 약간의 밀린업무..! 를 하셨다고.. ㅎㅎ"
1485,근데 지구인들이 너무 나쁘게 나온다ㅠㅠ,근데 지구인들이 너무 기분 나쁘게 나온다ㅠㅠ
1490,헐.... 심각한 이야기라 이런 말 하기 쫌 그렇지만...사진만 보면 재첩국...,. 헐.... 심각한 이야기라 이런 말 하기 쫌. 그렇지만... 사진만 보면 재첩국...
1505,우리가 어떤 세상에 살고 있는지... 불편한 진실.,우리가 어떤 세상에 살고 있는지.... 불편한 진실.
1517,공유가 필요하신 페이지 링크 공유주실 수 있을까요?,공유가 필요하신 페이지 링크 공유주실 알 수 있을까요?
1531,"이번주 PC팀의 제주도 워크샵 잘 다녀오시길 바라며, 다음에 꼭 또 뵙고 이야기나누어요!!","이번주에 PC팀의 제주도 워크샵 잘 다녀오시길 바라며, 다음에 꼭 또 다시 뵙고 이야기나누어요!!"
1541,그래픽이 원래 이렇게 좋았나요? ㅋㅋ,ㅋㅋ 그래픽이 원래 이렇게 좋았나요? ㅋㅋ
1550,품 속 새우깡(?) 이 너무 소듕해보여요…,품 속 새우깡 (? )? 이 너무 …
