id,source,sentence_1,sentence_2,label,binary-label,sentence_1_bert,sentence_2_bert
boostcamp-sts-v1-train-071,slack-sampled,저는 무한리필 도전 중인 대파!,저도 데스커 사용 중입니다!,0.0,0.0,저는 현재 무한리필 도전 중인 대파!,저도 데스커를 사용 중입니다!
boostcamp-sts-v1-train-072,slack-sampled,구글 meet에 맞는 사이즈로 리사이즈했습니다,스우파 리정 vs 시미즈에서 리정 배틀곡이기도합니다,0.0,0.0,구글 meet에 맞는 사이즈로 제품 리사이즈했습니다,스우파 리정 vs 시미즈에서의 리정 배틀곡이기도합니다
boostcamp-sts-v1-train-074,slack-sampled,고화질 영상으로 수정합니다! ㅎ,하체지만 고관절 신청합니다…!,0.0,0.0,고화질의 영상으로 수정합니다! ㅎ,하체지만 고관절 신청합니다…!
boostcamp-sts-v1-train-076,nsmc-sampled,후반들어 법적공방과 반전은 이영화의 묘미.,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,0.0,0.0,후반들어 벌어진 법적공방과 반전은 이영화의 묘미.,투혼과 함께 반담의 최고영화. 복수의 검은 칼날 반담 ~
boostcamp-sts-v1-train-077,slack-sampled,저는 뭔가 대나무처럼 크는 형태일 줄 알았는데 신기하네요,아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요,0.0,0.0,저는 뭔가 대나무처럼 키 크는 형태일 줄 알았는데 신기하네요,아ㅎㅎㅎ 새로 인터넷 설치해야하는건 줄 알았는데 돈 굳은 느낌이네요
boostcamp-sts-v1-train-081,slack-sampled,옛날 유럽의 어떤 전쟁 때 일단의 군대가 마을에 진주하게 되었습니다.,각자 사는 곳의 날씨 이야기부터 시작했습니다.,0.0,0.0,그 옛날 유럽의 어떤 전쟁 때 일단의 군대가 마을에서 진주하게 되었습니다.,그리고 각자 사는 곳의 날씨 이야기부터 시작했습니다.
boostcamp-sts-v1-train-082,petition-sampled,대동강 맥주 수입바랍니다!!!,MBN 을 강력하게 제재해주세요 !!!!!!,0.0,0.0,대동강 맥주 수입바랍니다!!!,MBN 을 강력하게 제재해주세요!!!!!!!
boostcamp-sts-v1-train-093,nsmc-sampled,할머니: 감독님... 농구가 하고 싶어요,-점 없어 아쉬움~~,0.0,0.0,할머니 : 감독님.... 농구가 하고 싶어요,-점 없어 아쉬움~~
boostcamp-sts-v1-train-094,nsmc-sampled,보면서 주인공 아이가 참 불쌍하다고 느꼈다.,친구가 무섭다고 추천해줬다.,0.0,0.0,보면서 주인공 아이가 참 많이 불쌍하다고 느꼈다.,친구가 무섭다고 추천해줬다.
boostcamp-sts-v1-train-101,petition-sampled,나라를위해 하시는건가요 돈벌려고 그 길로 가신건가요?,자영업자들 다 죽이실겁니까?,0.0,0.0,나라를위해 하시는건가요? 돈벌려고 그 길로 가신건가요?,자영업자들 다 죽이실겁니까?
boostcamp-sts-v1-train-107,petition-sampled,경추 요추 척추 압박골절시 시술 대기 기간 없애주세요,건강보험 보장 확대에 오타반점 제거 시술도 포함해 주세요.,0.0,0.0,"경추 요추, 척추 압박골절시 시술 대기 기간 없애주세요",건강보험 보장 확대에 오타반점 제거 시술 시술도 포함해 주세요.
boostcamp-sts-v1-train-109,nsmc-sampled,영화의 재미 보다 짚라인 타 보고 싶다.,가난한 영화의 넘치는 여운..그녀의 말을 마저 듣고 싶다.,0.0,0.0,영화의 재미를 보다 짚라인 타 보고 싶다.,가난한 영화의 넘치는 여운.. 그녀의 말을 마저 듣고는 싶다.
boostcamp-sts-v1-train-116,slack-sampled,지금도 아침에 코칭 다니시고 가족들도 종종 함께 다니는 가족 운동이라고 하네요!,그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서 종종 그리신다고 하십니다!,0.0,0.0,"지금도 아침에 코칭 다니시고, 저희 가족들도 종종 함께 다니는 가족 운동이라고 하네요!",", 그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서, 종종 그리신다고 하십니다!"
boostcamp-sts-v1-train-121,slack-sampled,아이가 게임에 빠지지 않게 하라는 방법이라고 합니다.,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,0.0,0.0,아이가 게임에 빠지지 않게 잘 하라는 방법이라고 합니다.,ㅠㅠ 인도에서부터 오는 비행 2주간 금지라고 합니다.
boostcamp-sts-v1-train-125,petition-sampled,욱일기~ 전범기 관련 사용금지 법안을 당장만드시요,풍등 제작 및 날리기 행위를 법으로 금지해야합니다.,0.0,0.0,욱일기 ~ 전범기 ~ 관련 사용금지 법안을 당장만드시요,풍등 제작 및 날리기 행위를 반드시 법으로 금지해야합니다.
boostcamp-sts-v1-train-128,nsmc-sampled,남주 음식 흡입장면은 혐오감으로 편집바람.,여배우 노출은 심하던데.재미없어서 졸려서 본 영화.,0.0,0.0,남주 음식 흡입장면은 혐오감으로. 편집바람.,여배우들의 노출은 심하던데. 재미없어서 졸려서 본 영화.
boostcamp-sts-v1-train-129,petition-sampled,이동식과속단속카메라 대신 과속단속cctv를 설치해 주세요.,5m 이동시 핸드폰 액정 자동꺼짐 설치 의무화 해주세요.,0.0,0.0,그리고 이동식과속단속카메라 대신 과속단속cctv를 설치해 주세요.,5m 이동시 핸드폰 액정 자동꺼짐기 설치 의무화 해주세요.
boostcamp-sts-v1-train-131,slack-rtt,(저도 잘 맞아드릴 수 있음),(잘 어울릴 수 있어요),0.0,0.0,( 저도 잘 잘 맞아드릴 수 있음 ),""" ( 잘 어울릴 수 있어요 )"
boostcamp-sts-v1-train-139,nsmc-sampled,"달리고 또 달리고,,",공포감도 별루고.. 암튼 비추..,0.0,0.0,"달리고 또 달리고,,",. 공포감도 별루고.. 암튼 비추..
boostcamp-sts-v1-train-155,petition-sampled,엄청난 후폭풍을 몰고 올 개정.,많은 국민들이 엄청난 피해를 보고 있습니다.,0.0,0.0,엄청난 후폭풍을 몰고 온 올 개정.,많은 대한민국 국민들이 엄청난 피해를 보고 있습니다.
boostcamp-sts-v1-train-162,slack-sampled,대박! 허리가 훨씬 편안하게 느껴지네요.,하늘색깔이 정말 파랗고 멋지네요.,0.0,0.0,이거 대박! 허리가 훨씬 편안하게 느껴지네요.,그리고 하늘색깔이 정말 파랗고 멋지네요.
boostcamp-sts-v1-train-180,nsmc-sampled,세상에 퍼펙트 월드란 없다,이때의 베이싱어는 엔트립먼트의 제타존스가 따라올수 없다..,0.0,0.0,세상에 퍼펙트한 월드란 없다,이때의 베이싱어는 엔트립먼트의 제타존스가 따라올수가 없다..
boostcamp-sts-v1-train-183,petition-sampled,이 나이에 군대를 가고 싶습니다~~~ ^^,대통령에게 매일같이 욕을 하는 놈을 알고 있어요~~~~~~~~~~~~~~~~~~~~~~~~~,0.0,0.0,이 나이에 군대를 가고 싶습니다 ~ ~ ~ ~ ^ ^,박근혜 대통령에게 매일같이 욕을 하는 놈을 알고 있어요 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
boostcamp-sts-v1-train-184,nsmc-sampled,물론 아이들 동화같은건 아니고요.,솔직히 돈주고 본게 아니라 돈아깝다는 소리는 못하고요.,0.0,0.0,물론 이건 아이들 동화같은건 아니고요.,솔직히 그냥 돈주고 본게 아니라 돈아깝다는 소리는 못하고요.
boostcamp-sts-v1-train-190,slack-sampled,정말 궁금하내요 제주!,오호 신기하내요 ㅎㅎㅎ,0.0,0.0,정말 궁금하내요 제주!,오호 신기하내요 ㅎㅎㅎ
boostcamp-sts-v1-train-193,slack-sampled,아무쪼록 사내 비슷한 취미 가지신 분들 좀 계신거 같으니 관련해서 자주 얘기도 나누고 또 적용한 경험도 나누어요~!,보안 관련하여 내용 좀 정리해서 추후 공지/당부 따로 드리긴할텐데요~!,0.0,0.0,아무쪼록 사내 비슷한 취미를 많이 가지신 분들 좀 많이 계신거 같으니 관련해서 자주 얘기도 나누고 또 적용한 경험도 나누어요 ~!,보안 관련하여 내용을 좀 정리해서 추후 공지 / 당부 따로 드리긴할텐데요 ~!
boostcamp-sts-v1-train-197,slack-sampled,8월에는 꼭 피티 받으러 가겠습니다 ㅎㅎ,조만간 또 오피스 방문하게 되면 인사드리러 가겠습니다,0.0,0.0,8월에는 꼭 피티 받으러 가겠습니다. ㅎㅎ,조만간 또 오피스 방문하게 되면 인사드리러 함께 가겠습니다
boostcamp-sts-v1-train-199,petition-sampled,"차용거래,계약에관한법을 보완할 수있는지 알고싶습니다.",제1차~2차연평해전 및 천안함사태에 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.,0.0,0.0,"차용거래, 계약에관한법을 보완할할 수있는지 알고싶습니다.",제1차 ~ 2차연평해전 및 천안함사태에 구체적인피해보상과 재발방지에 관하여는 문재인대통령님께 답변을 듣고싶습니다.
boostcamp-sts-v1-train-212,nsmc-sampled,시대를 타지 않는 명작...셰익스피어 원작 그자체,난 왜 광구가 생각이나는걸까...,0.0,0.0,시대를 잘 타지 않는 명작... 셰익스피어 원작 그자체,. 난 왜 광구가 생각이나는걸까...
boostcamp-sts-v1-train-214,petition-sampled,참여연대를 위한 위원회 국민들은 없다,자영업자와 근로자를 위한 수평적인 법조정 절실합니다.,0.0,0.0,참여연대를 위한 위원회에 국민들은 없다,자영업자와 비정규직 근로자를 위한 수평적인 법조정 절실합니다.
boostcamp-sts-v1-train-221,petition-sampled,자유한국당 퇴출 시킨시다.,나경원 의원 파면요청합니다.,0.0,0.0,자유한국당 퇴출 시킨시다.,나경원 의원 파면요청합니다.
boostcamp-sts-v1-train-230,slack-sampled,딱 세군데만 알려드릴게용! ㅎㅎㅎ,수정본이 오면 보여드릴게요 ㅋㅋㅋ,0.0,0.0,딱 세군데만 알려드릴게용!! ㅎㅎㅎ,수정본이 오면 보여드릴게요. ㅋㅋㅋ
boostcamp-sts-v1-train-231,petition-sampled,미투운동에 자영업자 울고있습니다,적폐 청산에 억울함을 호소합니다.,0.0,0.0,미투운동에 자영업자 울고있습니다,그리고 적폐 청산에 억울함을 호소합니다.
boostcamp-sts-v1-train-232,petition-sampled,"환경부가 4대강 중 남한강 이포보 개방으로 모래톱 드러나고 조개 폐사 위기가 닥치자 매일 10명이 재첩 주워다 강 속으로 던져, 세금 1300만원 들어갔습니다.",이스람 이집트 난민이 인천공황으로 몰리고 있습니다.,0.0,0.0,"환경부가 4대강 중 남한강이 이포보 개방으로 모래톱 드러나고 조개 폐사 위기가 닥치자 매일 10명이 재첩 주워다 강 속으로 던져 던져, 국민 세금 1300만원 들어갔습니다.",이스람 이집트 난민이 인천공황으로 몰리고는 있습니다.
boostcamp-sts-v1-train-237,slack-sampled,어 저 되게 갸륵하게 나왔네요..ㅋㅋ,자꾸 이러시면 또 쪄갑니다….ㅋㅋ,0.0,0.0,어 저도 되게 갸륵하게 나왔네요.. ㅋㅋ,자꾸만 이러시면 또 쪄갑니다 …. ㅋㅋ
boostcamp-sts-v1-train-240,petition-sampled,2018년 군인 월급 인상 1월부터 적용 안된다고 하는데 그렇게 될 경우 2월에 소급하여 지급해주세요.,상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,0.0,0.0,2018년 군인 월급 인상 1월부터 적용이 안된다고 하는데 그렇게 될 만한 경우 2월에 소급하여 지급해주세요.,- 상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.
boostcamp-sts-v1-train-241,nsmc-sampled,미국인들은 재밌을수도 있겠네요.,일본인 입장에서 이렇게 만들기 쉽지 않았을텐데 대단하네요.,0.0,0.0,미국인들은 재밌을수도 있겠네요.,일본인 입장에서 이렇게 작품 만들기 쉽지 않았을텐데 대단하네요.
boostcamp-sts-v1-train-260,nsmc-sampled,오페라 문외한인데도 불구하고 이 작품이 왜 유명한 지 알 것 같더군요.,이런 영화를 보면 주성치가 왜 대단한지 알수있다.,0.0,0.0,오페라 문외한인데도 불구하고 이 작품이 왜 그렇게도 유명한 지 알 것 같더군요.,이런 영화를 보면 주성치가 왜 이렇게 대단한지 알수있다.
boostcamp-sts-v1-train-265,slack-sampled,ㅋㅋ 보통 남자분들은 레깅스 + 반바지 조합 하시더라구용 ㅋㅋ,저희..옛날에 아주 조그만한 인연이 있더라구용...ㅎㅎ,0.0,0.0,ㅋㅋ 근데 보통 남자분들은 레깅스 + 반바지 조합 하시더라구용 ㅋㅋ,저희.. 옛날에 아주. 조그만한 인연이 있더라구용... ㅎㅎ
boostcamp-sts-v1-train-267,slack-sampled,# 한번만 눌러주시면 됩니다!!,함께 진행해주시면 됩니다~!,0.0,0.0,# # 한번만 눌러주시면 됩니다!!,함께 진행해주시면 됩니다~!
boostcamp-sts-v1-train-268,nsmc-sampled,좀 더 진지하고 어둡게 만들었더라,더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.,0.0,0.0,좀 더 진지하고 더 어둡게 만들었더라,훨씬 더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.
boostcamp-sts-v1-train-277,slack-sampled,저도 아침에 받았었어요. ㄷㄷ..,헉... 그동안 감사했습니다,0.0,0.0,저도 아침에 전화 받았었어요. ㄷㄷ..,헉... 그동안 감사했습니다
boostcamp-sts-v1-train-290,nsmc-sampled,아직은 낯선 컬트식 영화.,지극히 일본스타일의 영화.  외국인에겐 천국보다 낯선.,0.0,0.0,"아직은 낯선, 컬트식 영화.",. 지극히 일본스타일의 영화. 외국인에겐 천국보다 낯선.
boostcamp-sts-v1-train-292,slack-sampled,책상크기 고려하면 아이맥스 환경으로 업무를 하시겠군요 ㅎㄷㄷ,저 크기 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙,0.0,0.0,책상크기 고려하면 아이맥스의 환경으로 업무를 하시겠군요 ㅎㄷㄷ,만약 저 정도 크기 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙
boostcamp-sts-v1-train-296,nsmc-sampled,가발도 완전 허술하게 쓰고 착신아리 수준ㅡㅡ,조자룡도 완전 딴사람으로 만들어놓고,0.0,0.0,가발도 완전 허술하게 안 쓰고 착신아리 수준ㅡㅡ,조자룡도 이제 완전 딴사람으로 만들어놓고
boostcamp-sts-v1-train-314,slack-sampled,옛날 영화 말고요..,이건 드라마 보다 더 드라마.,0.0,0.0,옛날 영화 말고요..,이건 드라마. 보다 더 드라마.
boostcamp-sts-v1-train-324,slack-sampled,비가 많이 오네요~,의지가 활활 불타네요!,0.0,0.0,비가 많이 오네요~,의지가 활활 불타네요!
boostcamp-sts-v1-train-334,petition-sampled,콜센터에게 감정 폭력하는 사람에게 처벌해주세요,길거리 담배피우는 사람에게도 과태료 부과해주세요,0.0,0.0,콜센터에게 감정을 폭력하는 사람에게 처벌해주세요,길거리 담배피우는 사람에게도 과태료를 부과해주세요
boostcamp-sts-v1-train-336,nsmc-sampled,주제의식도 너무 느슨하다.,성행위 장면이 너무 더럽고 싸구려틱하다.,0.0,0.0,주제의식도 너무 느슨하다.,그런데 성행위 장면이 너무 더럽고 싸구려틱하다.
boostcamp-sts-v1-train-337,petition-sampled,"여성 소방관 체력 시험 기준 상향은 불공평합니다, 그럼 남녀 구분 말고 뽑아주십시오.",모든 공무원 시험의 한국사 과목은 한국사 능력검정시험으로 통일해야 합니다.,0.0,0.0,"그러나 여성 소방관 체력 시험 기준 상향은 불공평합니다, 그럼 남녀의 구분 말고 뽑아주십시오.",모든 공무원 시험의 경우 한국사 과목은 한국사 능력검정시험으로 통일해야 합니다.
boostcamp-sts-v1-train-339,slack-sampled,테스트 중이라서 이 채널에 알람은 꺼주셔도 좋습니다!!,빠진 프로젝트가 있으면 자유롭게 추가해주셔도 좋습니다!!,0.0,0.0,테스트 중이라서 이 채널에 알람은 꺼주셔도 너무 좋습니다!!,빠진 프로젝트가 많이 있으면 자유롭게 추가해주셔도 좋습니다!!
boostcamp-sts-v1-train-346,petition-sampled,심재철 회의 두번에 9천만원 사실인가요?,생각해 보니 오늘 12.12 아닌가요 ???,0.0,0.0,오늘 심재철 회의 두번에 9천만원 사실인가요?,생각해 보니 오늘은 12. 12 아닌가요???
boostcamp-sts-v1-train-353,slack-sampled,부끄럽다고 사진에는 안나왔습니다.,메일로는 안왔어요 ~,0.0,0.0,부끄럽다고 사진에는 안나왔습니다.,메일로는 안왔어요 ~
boostcamp-sts-v1-train-356,petition-sampled,[기고] 법원 멋대로 운용하는 개인회생제도/이상일 언론인,[청년실업문제] 외국인근로자를 청년으로 대체하는 정책으로,0.0,0.0,[ 기고 ] 법원 멋대로 운용하는 개인회생제도 / 이상일 / 언론인,[ 청년실업문제 ] 외국인근로자를 청년으로부터 대체하는 정책으로
boostcamp-sts-v1-train-357,slack-sampled,오오… 축하드려요 ㅎㅎㅎ,오오 몰랐는데 굿 정보,0.0,0.0,오오… 축하드려요 ㅎㅎㅎ,오오 몰랐는데 굿바이 정보
boostcamp-sts-v1-train-380,petition-sampled,친자확인 의무화가 필요한 시대입니다.,인터넷실명제가 꼭 필요한 시점입니다.,0.0,0.0,친자확인 의무화가 필요한 현 시대입니다.,인터넷실명제가 꼭 필요한 현 시점입니다.
boostcamp-sts-v1-train-385,petition-sampled,드루킹에게 재벌개혁정책 부탁한건 국정농단 아닙니까?,평양에서 공연하는거요. 북한인민에겐 고문 아닙니까?,0.0,0.0,드루킹에게 재벌개혁정책을 부탁한건 국정농단 아닙니까?,평양에서 공연하는거요. 북한인민에겐 인권 고문 아닙니까?
boostcamp-sts-v1-train-391,slack-sampled,"일요일, 공휴일에는 사무실 에어컨 가동 안된다고 하네요.","지난 금요일, 전사 휴무임에도 불구하고 악착같이 회사 사람들과 라운딩 ㅎㅎ",0.0,0.0,"일요일, 공휴일에는 사무실 에어컨 가동 안된다고들 하네요.","그리고 지난 금요일, 전사 휴무임에도 불구하고, 악착같이 회사 사람들과 라운딩 ㅎㅎ"
boostcamp-sts-v1-train-393,slack-sampled,오늘 정신이 없어서 기억이 좀 가물가물 하네요.,오늘 만나뵈어서 반가웠습니다.,0.0,0.0,그런데 오늘 정신이 없어서 기억이 좀 가물가물 하네요.,오늘 만나뵈어서 반가웠습니다.
boostcamp-sts-v1-train-398,slack-sampled,오늘 아침은 암벽 사이 길과 일출로 유명한 향일암에 다녀왔습니다.,제주에서 햇님을 달고오셨는지 오늘 아주 화창한 날씨에 산책이 좋았습니다.,0.0,0.0,오늘 아침은 암벽 사이 길과 일출로 유명한 향일암에서 다녀왔습니다.,제주에서 햇님을 달고오셨는지 오늘 아주 화창한 봄 날씨에 산책이 좋았습니다.
boostcamp-sts-v1-train-402,nsmc-sampled,"다시 본 맬 깁슨,",오랜만에 본 괜찮은 가족영화!,0.0,0.0,"다시 본 맬컴 깁슨,",정말 오랜만에 본 괜찮은 가족영화!
boostcamp-sts-v1-train-408,slack-sampled,우리도 뭔가를 준비해야할까요?,우리도 이걸 지원할수 있나요?,0.0,0.0,우리도 뭔가를 준비해야할까요?,그럼 우리도 이걸 지원할수 있나요?
boostcamp-sts-v1-train-415,nsmc-sampled,"그가 없었더라면 나는 뛰쳐나왔을지도 모르겟다,",많은 아이들이봤더라면 좋았을걸,0.0,0.0,"그가 정말로 없었더라면 나는 뛰쳐나왔을지도 모르겟다,",많은 아이들이봤더라면 좋았을걸
boostcamp-sts-v1-train-421,nsmc-sampled,지금은 도저히 만들지 못할 실제 물량과 인원을 동원한 역작,알려지지 않은 공포물의 걸작,0.0,0.0,지금은 도저히 만들지 못할 실제 물량과 엄청난 인원을 동원한 역작,잘 알려지지 않은 공포물의 걸작
boostcamp-sts-v1-train-425,slack-sampled,이름만 보고 당연히 여자라고 생각했는데 남성분이셨군요!!ㅎㅎ,유튜브에서 많이 봤던 분이시군요!!!,0.0,0.0,이름만을 보고 당연히 여자라고 생각했는데 남성분이셨군요!! ㅎㅎ,전 유튜브에서 많이 봤던 분이시군요!!!
boostcamp-sts-v1-train-435,slack-sampled,오오 이쁘네요 여기 ㅎㅎ,오 궁금하네요 고고 ㅎㅎ,0.0,0.0,오오 이쁘네요 여기요 ㅎㅎ,아 오 궁금하네요 고고 ㅎㅎ
boostcamp-sts-v1-train-436,nsmc-sampled,이런 상륙작전은 더이상 하지마라.. 부탁이다,이런 소박함이 나는 참 좋다..,0.0,0.0,이런 상륙작전은 이제 더이상 하지마라.. 부탁이다,이런 소박함이 내게 나는 참 좋다..
boostcamp-sts-v1-train-444,slack-sampled,그리고 연달아 회의 세시간..!ㅋㅋㅋ이 기다리고 있군요!,냥이 8시간 보는법.,0.0,0.0,그리고 연달아서 회의 세시간..! ㅋㅋㅋ이 기다리고 있군요!,냥이 8시간 보는법.
boostcamp-sts-v1-train-445,slack-sampled,"서로 프로젝트 관련 이야기도 하고, 어떻게 우리 회사를 알게 됐나, 등등 여러가지 이야기를 나눴습니다.",어쩌다 보니 학교 다닐 때 이야기도 하면서 지금은 비대면으로 수업을 진행해서 아쉬운 점이 많은 것 같다고 이야기 나눴습니다.,0.0,0.0,"서로 프로젝트 관련 이야기도 많이 하고, 어떻게 우리 회사를 알게 됐나, 등등 여러가지 이야기를 많이 나눴습니다.",어쩌다 보니 학교에 다닐 때 이야기도 하면서 지금은 비대면으로만 수업을 진행해서 아쉬운 점이 많은 것 같다고 서로 이야기 나눴습니다.
boostcamp-sts-v1-train-457,petition-sampled,차로 확장을 자제 해 주십시요,유치원 3법이 아닌 강제 수용을 해 주십시요,0.0,0.0,차로 확장을 최대한 자제 해 주십시요,유치원 3법이 아닌 강제 수용을 해하여 주십시요
boostcamp-sts-v1-train-458,slack-sampled,평소 애정하던 스타들이 자꾸.. 말을 걸어주시니깐 심장이 요동치네요.,"아…ㅠㅠ 고민하다가 말 걸고, 답을 기다리다가 그만.. 강퇴해프닝이 벌어졌네요.",0.0,0.0,평소 애정하던 아이돌 스타들이 자꾸.. 말을 걸어주시니깐 심장이 요동치네요.,"아 … ㅠㅠ 고민하다가 말 걸고,, 답을 기다리다가 그만.. 강퇴해프닝이 벌어졌네요."
boostcamp-sts-v1-train-466,nsmc-sampled,애들은 용에 환장할 듯,아무도 애에 대해 관심을 갖지 않음ㅋ,0.0,0.0,애들은 용에 환장할 만한 듯,아무도 애에 대해 관심을 거의 갖지 않음ㅋ
boostcamp-sts-v1-train-479,petition-sampled,“공정”한 사회 지금부터라도 선언합시다.,☼문재인정부는 교육을 획기적으로 개혁하라!,0.0,0.0,“ 공정 ” 한 사회를 지금부터라도 선언합시다.,- 교육을 획기적으로 개혁하라!
boostcamp-sts-v1-train-481,petition-sampled,공공기관의 모순된 평가법,층간소음의 획기적인 해결법,0.0,0.0,공공기관의 모순된 평가법,층간소음의 획기적인 해결법
boostcamp-sts-v1-train-493,petition-sampled,어머니 병원을 갔다 왔더니 국민건강보험공단에서 잘못했으니 58만원 벌금내라고 합니다.,다이소가 폭염땜에 매출하락해서 밤 11시까지 운영한다고 합니다.,0.0,0.0,그런데 어머니 병원을 갔다 왔더니 국민건강보험공단에서 잘못했으니 58만원 벌금내라고 합니다.,다이소가 폭염땜에 계속 매출하락해서 밤 11시까지 운영한다고 합니다.
boostcamp-sts-v1-train-495,slack-sampled,추석에 고향 잘 다녀오셔요!! ㅎㅎ,의자 한번 골라보셔요!!ㅋㅋㅋ,0.0,0.0,이번 추석에 고향 잘 다녀오셔요!! ㅎㅎ,의자 한번 골라보셔요!!ㅋㅋㅋ
boostcamp-sts-v1-train-507,nsmc-sampled,주인공이 우리를 대변하는것 같아요.,감독은 우리에게 두가지 질문을 하는것같네요 .,0.0,0.0,그 주인공이 우리를 대변하는것 같아요.,감독은 우리에게 두가지의 질문을 하는것같네요.
boostcamp-sts-v1-train-511,nsmc-sampled,"대결이 숨 막혀야하는데, 하품이 나와.",빛이 없는데 그림자가 있을까.,0.0,0.0,"대결이 숨 막혀야하는데, 갑자기 하품이 나와.",빛이 없는데 그림자가 어디 있을까.
boostcamp-sts-v1-train-518,petition-rtt,기무사 재창단 말아야,경비원을 다시 세우지 마십시오.,0.0,0.0,기무사 재창단 말아야,경비원을 다시 세우지는 마십시오.
boostcamp-sts-v1-train-531,slack-sampled,요근래 본 글 중 가장 핫했다..…,요건 뇌피셜 아이디어.....ㅎㅎ,0.0,0.0,요즘 요근래 본 글 중 가장 핫했다.. …,요건 뇌피셜 아이디어.....ㅎㅎ
boostcamp-sts-v1-train-537,petition-sampled,초등학생도 너네보단 잘하겠다,특검보다 더한 것도 받겠다.,0.0,0.0,초등학생도 너네보단 잘하겠다,차라리 특검보다 더한 것도 받겠다.
